Palabra clave de búsqueda
1 de abril de 2026 - 9 de abril de 2026
Palabra clave de búsqueda,Estado de las palabras clave de búsqueda,Motivos del estado de las palabras clave de búsqueda,Tipo de concordancia de palabra clave de búsqueda,Campaña,Grupo de anuncios,Código de moneda,CPC máximo de palabras clave,Clics,Impr.,CTR,CPC medio,Coste,% de impr. (parte sup. abs.),% de impr. (parte sup.),Conversiones,Conv. post-impresión,Coste/conv.,Tasa de conv.,CPM medio
mosca,Apto,,Concordancia amplia,Search | Brand (CONV),Institucional,USD,"0,01",7.243,15.513,"46,69%","0,06","401,45","91,64%","92,54%","28,74",0,"13,97","0,40%","25,88"
mosca hnos,Apto,,Concordancia amplia,Search | Brand (CONV),Institucional,USD,"0,01",1.029,1.857,"55,41%","0,02","19,42","98,46%","98,63%","10,00",0,"1,94","0,97%","10,46"
mosca online,Apto,,Concordancia amplia,Search | Brand (CONV),Institucional,USD,"0,01",674,9.792,"6,88%","0,29","197,03","42,56%","74,71%","3,33",0,"59,11","0,49%","20,12"
mosca uy,Apto,,Concordancia amplia,Search | Brand (CONV),Institucional,USD,"0,01",361,706,"51,13%","0,03","9,81","97,54%","98,03%","4,00",0,"2,45","1,11%","13,90"
juguetes para bebés,Apto,,Concordancia amplia,Search | Primera infancia,Estimulación,USD,"0,01",305,2.505,"12,18%","0,13","39,31","37,74%","83,21%","0,00",0,0,"0,00%","15,69"
juguetes online,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",166,1.922,"8,64%","0,16","25,88","33,30%","78,67%","0,00",0,0,"0,00%","13,47"
juguetería,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",112,1.979,"5,66%","0,21","23,16","30,38%","79,07%","0,00",0,0,"0,00%","11,70"
mosca papeleria,Apto,,Concordancia amplia,Search | Brand (CONV),Institucional,USD,"0,01",107,250,"42,80%","0,05","5,08","95,77%","96,48%","1,00",0,"5,08","0,93%","20,31"
marcadores,Apto,,Concordancia amplia,Search | Genérica | Arte,Dibujo / Marcadores,USD,"0,01",105,1.443,"7,28%","0,22","22,93","43,76%","69,37%","1,00",0,"22,93","0,95%","15,89"
pinturas,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",97,1.219,"7,96%","0,18","17,14","50,51%","73,15%","0,00",0,0,"0,00%","14,06"
