Rendimiento de la campaña
1 de abril de 2026 - 9 de abril de 2026
Campaña,Estado de la campaña,Tipo de campaña,Clics,Impr.,CTR,Código de moneda,CPC medio,Coste,% de impr. (parte sup. abs.),% de impr. (parte sup.),Conversiones,Conv. post-impresión,Coste/conv.,Tasa de conv.
Search | Brand (CONV),Habilitada,Buscar,9.618,29.630,"32,46%",USD,"0,07","680,29","76,75%","87,42%","49,30",0,"13,80","0,51%"
Shopping (CONV),Habilitada,Shopping,5.775,178.915,"3,23%",USD,"0,06","318,78",0,0,"30,40",0,"10,49","0,53%"
PMax (CONV),Habilitada,Rendimiento máximo,4.262,85.409,"4,99%",USD,"0,06","244,61",0,0,"17,06",0,"14,34","0,14%"
Search | Genérico | Juguetes,Habilitada,Buscar,977,14.775,"6,61%",USD,"0,17","164,72","33,12%","76,16%","0,00",0,0,"0,00%"
Search | Genérica | Arte,Habilitada,Buscar,627,8.825,"7,10%",USD,"0,23","142,00","47,54%","70,87%","2,00",0,"71,00","0,32%"
Search | Primera infancia,Habilitada,Buscar,503,6.150,"8,18%",USD,"0,15","74,97","28,94%","78,74%","0,00",0,0,"0,00%"
Search | Brand | La papelaria,Habilitada,Buscar,310,3.114,"9,96%",USD,"0,10","32,19","41,31%","71,47%","2,00",0,"16,10","0,65%"
Search | Genérico | Tecnología,Habilitada,Buscar,306,7.136,"4,29%",USD,"0,11","33,19","14,69%","68,51%","0,00",0,0,"0,00%"
VM_S_B_NB_DSA_Category,En pausa,Buscar,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
VM_S_NB_Category,En pausa,Buscar,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
VM_Sh_AllProducts,En pausa,Shopping,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
VM_D_Smart_MesDeLaCreatividad,En pausa,Display,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
VM_Disc_CL1123,En pausa,Generación de demanda,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
VM_D_Killer_Base_de._datos,En pausa,Display,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
VM_V_Ciberlunes,En pausa,Vídeo,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
VM_S_B_NB_Product_Tecno,En pausa,Buscar,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
VM_Discovery_Mailing,En pausa,Generación de demanda,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
VM_S_NB_Conquest_Arte,En pausa,Buscar,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
VM_Discovery_NB_Videojuegos,En pausa,Generación de demanda,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
VM_V_CiberlunesNov22_Aw,En pausa,Vídeo,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
VM_V_Navidad_Aw,En pausa,Vídeo,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
VM_D_BackToSchool,En pausa,Display,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
VM_V_Awareness,En pausa,Vídeo,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
VM_Discovery,En pausa,Generación de demanda,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
Trafico_Shopping_Julio,En pausa,Shopping,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
Demand Gen (CONS),En pausa,Generación de demanda,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
Video_Fidelidad,Habilitada,Vídeo,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
Search | Genérico (CONS),En pausa,Buscar,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
Google | Youtube | Visualizaciones | Dia de la ninez,En pausa,Vídeo,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
Google | Youtube | Cobertura | Dia del nino | Capsulas,En pausa,Vídeo,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
Google | Youtube | Cobertura | Sale,Habilitada,Vídeo,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
Youtube | Cobertura | Ciberlunes - Expectativa (REC),En pausa,Vídeo,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
Youtube | Visualizaciones | Campana Fiestas 2024,En pausa,Vídeo,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
Youtube | Visualizaciones | Tratarnos Bien (RECO),Habilitada,Vídeo,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
Youtube | Ciberlunes (CONS),En pausa,Generación de demanda,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
Mosca | Youtube | HOY Beneficios | Junio 2025,En pausa,Vídeo,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
Performance Max | Conversiones | HOY Beneficios,En pausa,Rendimiento máximo,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
Youtube | Visualizaciones | DDN (RECO),Habilitada,Vídeo,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
Mosca | Demand Gen | Ciberlunes 2025,En pausa,Generación de demanda,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
Youtube | Fiestas | Nov 2025 (RECO),En pausa,Vídeo,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
Demand Gen | 2 (CONS),En pausa,Generación de demanda,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
Youtube | Back to school | Feb 2026,Habilitada,Vídeo,0,0,0,USD,0,"0,00",0,0,"0,00",0,0,0
